timestamp,base_price,quote_price,base_quote_ratio,quote_base_ratio,volume_usd,liquidity_usd,date,position_value,price_in_range,fees_earned,swap_volume,rebalanced
2025-03-09 17:00:00,1.00231931649985,1.0,1.00231931649985,0.9976860502819108,1611482.44651492,0.0,2025-03-09 17:00:00,1000.0,True,0.0,1611482.44651492,False
2025-03-10 17:00:00,0.997497191879473,1.0,0.997497191879473,1.0025090878860634,3311869.49095552,0.0,2025-03-10 17:00:00,997.591621080692,True,0.0,3311869.49095552,False
2025-03-11 17:00:00,1.00081375811788,1.0,1.00081375811788,0.99918690354596,5056828.07704989,0.0,2025-03-11 17:00:00,999.2499041998954,True,0.0,5056828.07704989,False
2025-03-12 17:00:00,0.999257512324043,1.0,0.999257512324043,1.0007430393735346,9707424.78880303,0.0,2025-03-12 17:00:00,998.471781302977,True,0.0,9707424.78880303,False
2025-03-13 17:00:00,1.00324682507722,1.0,1.00324682507722,0.9967636826790156,7003052.5160931,0.0,2025-03-13 17:00:00,1000.4664376795654,True,0.0,7003052.5160931,False
2025-03-14 17:00:00,0.998795933487947,1.0,0.998795933487947,1.0012055180359498,5815362.51439591,0.0,2025-03-14 17:00:00,998.2409918849289,True,0.0,5815362.51439591,False
2025-03-15 17:00:00,1.00068682906802,1.0,1.00068682906802,0.9993136423423704,5406283.8686698,0.0,2025-03-15 17:00:00,999.1864396749654,True,0.0,5406283.8686698,False
2025-03-16 17:00:00,0.999981926241796,1.0,0.999981926241796,1.0000180740848703,6978695.40917621,0.0,2025-03-16 17:00:00,998.8339882618534,True,0.0,6978695.40917621,False
2025-03-17 17:00:00,0.997784594008894,1.0,0.997784594008894,1.0022203249122188,7633752.96774966,0.0,2025-03-17 17:00:00,997.7353221454024,True,0.0,7633752.96774966,False
2025-03-18 17:00:00,1.0474066560545,1.0,1.0474066560545,0.954739015853616,7888660.28173701,0.0,2025-03-18 17:00:00,1022.5463531682054,False,0.0,0.0,False
2025-03-19 17:00:00,0.99993169798563,1.0,0.99993169798563,1.000068306679854,7177911.2365243,0.0,2025-03-19 17:00:00,998.8088741337704,True,0.0,7177911.2365243,False
2025-03-20 17:00:00,1.00172705508093,1.0,1.00172705508093,0.9982759224958834,4429760.90323303,0.0,2025-03-20 17:00:00,999.7065526814205,True,0.0,4429760.90323303,False
2025-03-21 17:00:00,1.00144183238591,1.0,1.00144183238591,0.9985602435016372,3264349.13537777,0.0,2025-03-21 17:00:00,999.5639413339104,True,0.0,3264349.13537777,False
2025-03-22 17:00:00,0.997686423616836,1.0,0.997686423616836,1.0023189414312934,3663122.25428795,0.0,2025-03-22 17:00:00,997.6862369493734,True,0.0,3663122.25428795,False
2025-03-23 17:00:00,0.995936262848155,1.0,0.995936262848155,1.0040803184936993,7723581.56053494,0.0,2025-03-23 17:00:00,990.4039978919761,True,0.0,7723581.56053494,True
2025-03-24 17:00:00,1.00110293381599,1.0,1.00110293381599,0.9988982813068124,5303925.43686685,0.0,2025-03-24 17:00:00,989.3652831837785,True,0.0,5303925.43686685,True
2025-03-25 17:00:00,1.02959674024233,1.0,1.02959674024233,0.9712540462828544,5483436.64375547,0.0,2025-03-25 17:00:00,1003.4451454595398,False,0.0,0.0,False
2025-03-26 17:00:00,1.00205511676046,1.0,1.00205511676046,0.9979490980824448,7749645.90887533,0.0,2025-03-26 17:00:00,989.8357926172628,True,0.0,7749645.90887533,False
2025-03-27 17:00:00,1.06342963760432,1.0,1.06342963760432,0.9403537052557484,8406068.29603266,0.0,2025-03-27 17:00:00,1020.1632535325433,False,0.0,0.0,False
2025-03-28 17:00:00,1.0031605121793,1.0,1.0031605121793,0.9968494451875564,6722952.32588684,0.0,2025-03-28 17:00:00,990.382010101324,True,0.0,6722952.32588684,False
2025-03-29 17:00:00,0.999584485146927,1.0,0.999584485146927,1.0004156875774357,5470659.99067331,0.0,2025-03-29 17:00:00,988.6149605412601,True,0.0,5470659.99067331,False
2025-03-30 17:00:00,0.999531071308429,1.0,0.999531071308429,1.0004691486888515,5680694.06404526,0.0,2025-03-30 17:00:00,988.5885667531358,True,0.0,5680694.06404526,False
2025-03-31 17:00:00,0.998095880013405,1.0,0.998095880013405,1.0019077525764053,7086642.68253825,0.0,2025-03-31 17:00:00,987.8793847129774,True,0.0,7086642.68253825,False
2025-04-01 17:00:00,1.00266529559145,1.0,1.00266529559145,0.9973417893257414,7899962.37356722,0.0,2025-04-01 17:00:00,990.137304945078,True,0.0,7899962.37356722,False
2025-04-02 17:00:00,0.997478542981947,1.0,0.997478542981947,1.002527830834852,3548762.52787316,0.0,2025-04-02 17:00:00,987.5743352488728,True,0.0,3548762.52787316,False
2025-04-03 17:00:00,0.996339822723459,1.0,0.996339822723459,1.0036736233893937,5579910.62395267,0.0,2025-04-03 17:00:00,987.0116507071784,True,0.0,5579910.62395267,False
2025-04-04 17:00:00,1.10573123545396,1.0,1.10573123545396,0.9043789014329944,2688538.44426606,0.0,2025-04-04 17:00:00,1041.0660652824326,False,0.0,0.0,False
2025-04-05 17:00:00,0.995337413215275,1.0,0.995337413215275,1.0046844283383896,4117440.55442655,0.0,2025-04-05 17:00:00,983.3106529088881,True,0.0,4117440.55442655,True
2025-04-06 17:00:00,0.997079766640569,1.0,0.997079766640569,1.0029287860982978,12878328.0764622,0.0,2025-04-06 17:00:00,984.1713031072411,True,0.0,12878328.0764622,False
2025-04-07 17:00:00,1.00363506144697,1.0,1.00363506144697,0.9963781043662132,3807032.6967042647,0.0,2025-04-07 17:00:00,980.5313515796723,True,0.0,3807032.6967042647,True
